activity subject variable mean
laying 1 tBodyAcc.mean...X 0.22159824394
laying 2 tBodyAcc.mean...X 0.281373403958333
laying 3 tBodyAcc.mean...X 0.275516852741935
laying 4 tBodyAcc.mean...X 0.263559214981481
laying 5 tBodyAcc.mean...X 0.278334325576923
laying 6 tBodyAcc.mean...X 0.248656520140351
laying 7 tBodyAcc.mean...X 0.250176694038462
laying 8 tBodyAcc.mean...X 0.261254282907407
laying 9 tBodyAcc.mean...X 0.2591955368
laying 10 tBodyAcc.mean...X 0.280230574137931
laying 11 tBodyAcc.mean...X 0.280592970877193
laying 12 tBodyAcc.mean...X 0.260113433
laying 13 tBodyAcc.mean...X 0.276716360483871
laying 14 tBodyAcc.mean...X 0.233275439803922
laying 15 tBodyAcc.mean...X 0.2894756525
laying 16 tBodyAcc.mean...X 0.274227162571429
laying 17 tBodyAcc.mean...X 0.269780085577465
laying 18 tBodyAcc.mean...X 0.274691576923077
laying 19 tBodyAcc.mean...X 0.272653733493976
laying 20 tBodyAcc.mean...X 0.239507882205882
laying 21 tBodyAcc.mean...X 0.271325472455556
laying 22 tBodyAcc.mean...X 0.279959721194444
laying 23 tBodyAcc.mean...X 0.274038007986111
laying 24 tBodyAcc.mean...X 0.272850494930556
laying 25 tBodyAcc.mean...X 0.250791828613699
laying 26 tBodyAcc.mean...X 0.271645864540789
laying 27 tBodyAcc.mean...X 0.274102492432432
laying 28 tBodyAcc.mean...X 0.2759134825
laying 29 tBodyAcc.mean...X 0.287295196811594
laying 30 tBodyAcc.mean...X 0.281033900571429
sitting 1 tBodyAcc.mean...X 0.261237565425532
sitting 2 tBodyAcc.mean...X 0.27708735173913
sitting 3 tBodyAcc.mean...X 0.257197599134615
sitting 4 tBodyAcc.mean...X 0.27153827992
sitting 5 tBodyAcc.mean...X 0.273694139545455
sitting 6 tBodyAcc.mean...X 0.276778487454545
sitting 7 tBodyAcc.mean...X 0.284674637291667
sitting 8 tBodyAcc.mean...X 0.267491472934783
sitting 9 tBodyAcc.mean...X 0.24832674354
sitting 10 tBodyAcc.mean...X 0.270612056481481
sitting 11 tBodyAcc.mean...X 0.276590197358491
sitting 12 tBodyAcc.mean...X 0.275007224901961
sitting 13 tBodyAcc.mean...X 0.274328499591837
sitting 14 tBodyAcc.mean...X 0.279990577037037
sitting 15 tBodyAcc.mean...X 0.27290337979661
sitting 16 tBodyAcc.mean...X 0.280768574492754
sitting 17 tBodyAcc.mean...X 0.2773570196875
sitting 18 tBodyAcc.mean...X 0.27727001877193
sitting 19 tBodyAcc.mean...X 0.273830316164384
sitting 20 tBodyAcc.mean...X 0.278045439090909
sitting 21 tBodyAcc.mean...X 0.277539616823529
sitting 22 tBodyAcc.mean...X 0.273583822709677
sitting 23 tBodyAcc.mean...X 0.273351251617647
sitting 24 tBodyAcc.mean...X 0.273475690147059
sitting 25 tBodyAcc.mean...X 0.278541482461538
sitting 26 tBodyAcc.mean...X 0.258243530166667
sitting 27 tBodyAcc.mean...X 0.273941302571429
sitting 28 tBodyAcc.mean...X 0.276977629444444
sitting 29 tBodyAcc.mean...X 0.2771799775
sitting 30 tBodyAcc.mean...X 0.268336081379032
standing 1 tBodyAcc.mean...X 0.278917629056604
standing 2 tBodyAcc.mean...X 0.277911472222222
standing 3 tBodyAcc.mean...X 0.280046513278689
standing 4 tBodyAcc.mean...X 0.280499745892857
standing 5 tBodyAcc.mean...X 0.282544390892857
standing 6 tBodyAcc.mean...X 0.280346248596491
standing 7 tBodyAcc.mean...X 0.282723539433962
standing 8 tBodyAcc.mean...X 0.279620986111111
standing 9 tBodyAcc.mean...X 0.282310057333333
standing 10 tBodyAcc.mean...X 0.276650300681818
standing 11 tBodyAcc.mean...X 0.277715562765957
standing 12 tBodyAcc.mean...X 0.277405834918033
standing 13 tBodyAcc.mean...X 0.277758431052632
standing 14 tBodyAcc.mean...X 0.280545613833333
standing 15 tBodyAcc.mean...X 0.278915803962264
standing 16 tBodyAcc.mean...X 0.283497402948718
standing 17 tBodyAcc.mean...X 0.277942503333333
standing 18 tBodyAcc.mean...X 0.278458805890411
standing 19 tBodyAcc.mean...X 0.27817226
standing 20 tBodyAcc.mean...X 0.278076904657534
standing 21 tBodyAcc.mean...X 0.27695224258427
standing 22 tBodyAcc.mean...X 0.279053861587302
standing 23 tBodyAcc.mean...X 0.277899323235294
standing 24 tBodyAcc.mean...X 0.280348883913043
standing 25 tBodyAcc.mean...X 0.278013701621622
standing 26 tBodyAcc.mean...X 0.281127035405405
standing 27 tBodyAcc.mean...X 0.279566921625
standing 28 tBodyAcc.mean...X 0.277795069113924
standing 29 tBodyAcc.mean...X 0.277965065846154
standing 30 tBodyAcc.mean...X 0.277112699152542
walking 1 tBodyAcc.mean...X 0.277330758736842
walking 2 tBodyAcc.mean...X 0.276426586440678
walking 3 tBodyAcc.mean...X 0.275567462068966
walking 4 tBodyAcc.mean...X 0.278582015166667
walking 5 tBodyAcc.mean...X 0.27784234625
walking 6 tBodyAcc.mean...X 0.283658868070175
walking 7 tBodyAcc.mean...X 0.275592961754386
walking 8 tBodyAcc.mean...X 0.27468631
walking 9 tBodyAcc.mean...X 0.278502842115385
walking 10 tBodyAcc.mean...X 0.278574076603774
walking 11 tBodyAcc.mean...X 0.271821892881356
walking 12 tBodyAcc.mean...X 0.2771286656
walking 13 tBodyAcc.mean...X 0.275883130350877
walking 14 tBodyAcc.mean...X 0.271959598644068
walking 15 tBodyAcc.mean...X 0.273899207962963
walking 16 tBodyAcc.mean...X 0.276023564509804
walking 17 tBodyAcc.mean...X 0.272341855245902
walking 18 tBodyAcc.mean...X 0.273887758571429
walking 19 tBodyAcc.mean...X 0.273931172307692
walking 20 tBodyAcc.mean...X 0.272589336470588
walking 21 tBodyAcc.mean...X 0.279183526730769
walking 22 tBodyAcc.mean...X 0.27886459
walking 23 tBodyAcc.mean...X 0.273211884237288
walking 24 tBodyAcc.mean...X 0.276980816034483
walking 25 tBodyAcc.mean...X 0.278992759054054
walking 26 tBodyAcc.mean...X 0.279264443728814
walking 27 tBodyAcc.mean...X 0.276849485438596
walking 28 tBodyAcc.mean...X 0.281228223888889
walking 29 tBodyAcc.mean...X 0.271999916792453
walking 30 tBodyAcc.mean...X 0.276406758
walking_downstairs 1 tBodyAcc.mean...X 0.289188320408163
walking_downstairs 2 tBodyAcc.mean...X 0.27761534806383
walking_downstairs 3 tBodyAcc.mean...X 0.292423484693878
walking_downstairs 4 tBodyAcc.mean...X 0.279965329555556
walking_downstairs 5 tBodyAcc.mean...X 0.29354392712766
walking_downstairs 6 tBodyAcc.mean...X 0.277045258145833
walking_downstairs 7 tBodyAcc.mean...X 0.28030708
walking_downstairs 8 tBodyAcc.mean...X 0.283484089210526
walking_downstairs 9 tBodyAcc.mean...X 0.295923445
walking_downstairs 10 tBodyAcc.mean...X 0.290401594315789
walking_downstairs 11 tBodyAcc.mean...X 0.291605631956522
walking_downstairs 12 tBodyAcc.mean...X 0.281521097391304
walking_downstairs 13 tBodyAcc.mean...X 0.294907553404255
walking_downstairs 14 tBodyAcc.mean...X 0.293422115555556
walking_downstairs 15 tBodyAcc.mean...X 0.280198851190476
walking_downstairs 16 tBodyAcc.mean...X 0.295586802191489
